,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
KIF3C,391
RAB10,5475
GCKR,8
HADHA,9282
MAPRE3,1163
CAD,2476
CD59,15970
CD82,5073
BCORL1,1106
ATRX,4378
AK6,394
FCN1,1246
MYNN,777
MECOM,3861
SCAMP1,2415
PREP,1577
HACE1,836
SEH1L,1249
WDR47,909
WDFY1,2180
OVGP1,166
SLC25A24,2979
MAP3K4,2082
PILRA,1360
IGSF9,120
ABCB1,270
ZNF213,1097
AKR1B1,6316
CPNE3,5775
RRN3,1959
CTTN,8610
WNT11,245
MTIF2,1468
DDHD2,2570
TTC39A,904
EPS15,5317
ORC1,57
MGST2,1389
CHERP,1368
ATG16L1,1809
USP40,3716
POMGNT1,3426
RAD54L,44
MAST2,2481
DNAJA1,6423
B4GALT1,8431
CHMP5,3573
NFX1,2542
AQP6,29
DIMT1,326
IPO11,816
FOLH1,116
EIF2AK1,5195
NME8,45
EPDR1,2725
SNX10,1945
SEPHS1,1930
MRPL28,2042
HBQ1,5
ITPKC,3412
CEACAM6,10096
FAT2,135
RBM22,2421
TMED2,7116
ERO1B,881
ZFAND6,3211
HSD17B2,73
TXLNG,1362
PPEF1,11
LAT2,1258
HUWE1,11367
ZW10,674
ALG9,427
MYBPC2,37
NOX4,83
ACOX3,1349
MTMR2,1832
PPP1R15A,11010
HSD17B14,956
TRIP6,3848
ACHE,408
FTL,433144
SRRT,5300
BAX,2971
NLK,1127
PIGS,3308
ADAMTS2,1146
TMPRSS11E,1
ATXN7L3,3018
PGS1,3397
PSMC5,3520
UIMC1,1318
CETP,226
MMP2,14639
MT3,6
LPCAT2,1421
GNAO1,318
OGFOD1,1091
SH3BP2,5088
NOP14,1003
ADD1,14651
L2HGDH,347
TXNDC16,914
RTRAF,3348
NID2,594
GMCL1,1430
SF3B2,9746
KLHL42,1819
GNAS,39996
DNM1L,2857
PTHLH,10
PHACTR3,308
ERGIC2,1355
TFAP2C,299
AURKA,145
CASS4,1805
PIR,468
AAMDC,200
RFX2,883
METTL2A,582
SULT2B1,228
ALG6,598
CNOT3,2381
GP6,15
PTPN4,1686
DDX18,3364
KHSRP,6776
GNA11,3907
ASAP3,2582
EDEM2,2276
DNMT3B,214
REM1,162
TPX2,205
PDRG1,645
EPB41L1,3982
SLC15A1,10
DOCK9,5688
ANKRD10,7026
TGDS,592
DOCK3,174
C3orf18,446
COQ9,1541
TMEM40,9
KIF9,243
ARHGAP28,705
CRLS1,327
DEFB127,10
PPP1R13B,4295
ATRN,3582
SMOX,221
SIGLEC1,5875
FKBP1A,8418
NSFL1C,3443
SLC4A11,135
C20orf194,3815
ZNF343,430
EBF4,980
CPXM1,181
MAVS,6174
LZTS3,1970
F11,245
XRN2,3628
KIZ,1068
DYNLL1,3783
TESC,507
SNX5,5696
RPL6,18267
SIRPG,223
MAPKAPK5,2052
P2RX7,778
ESF1,797
RBBP9,1395
ANAPC5,6521
SLC23A2,3402
SLC8B1,3847
TMEM230,3941
DZANK1,251
KDM2B,2263
CFAP61,65
LHX5,0
TASP1,506
OAS1,2204
GCN1,5960
RPLP0,37066
PXN,4167
SIRT4,65
RPH3A,23
KIF16B,1575
TRMT6,611
CHGB,10
PEBP1,13227
TBX5,2266
BRAP,959
ERP29,7843
NOS1,324
FUS,12026
IGBP1,2058
FXYD5,5989
ZNF302,1777
GRAMD1A,7738
FXYD3,199
HEPH,1090
CDIP1,2006
CMTM1,52
KCNH4,15
GANAB,14099
GMIP,2983
RBM41,581
BIRC5,136
LAG3,321
MLF2,6216
OTUB2,86
DDX24,8117
ZBTB25,1558
NECAP1,1896
ARHGAP4,5334
ANKRD24,250
DHX32,1176
RCOR1,3715
GPATCH2L,2506
LTBP4,23705
BLVRB,4276
SLC9A1,3989
SPTLC1,3290
PAPOLA,7835
CCNK,288
PCBP4,1665
RGS1,18002
YPEL3,5309
MRPS33,737
NDUFB2,1271
NUDC,3596
MAEA,4135
ICAM1,13826
STRN4,4217
IRAK3,1843
LYZ,56280
SI,0
MUL1,1805
TFAP4,664
PDCD7,1008
SPG21,4854
FETUB,0
DNAJB11,975
P3H2,4229
THPO,25
CHRD,456
FLT3LG,32
RAB11FIP3,3022
GNPTG,3422
ZNF268,1012
GOLGA3,4724
PABPC4,6979
CD209,449
CERS4,2015
MCOLN1,3296
USP48,2982
EFNB1,3295
PDPR,2410
AARS1,5196
GLG1,9964
KIF4A,63
TNRC6A,3945
PLEKHG2,2151
DLL3,0
NAT14,675
PITPNM2,2784
EXOC1,1737
RBM27,1085
POU4F3,5
OSBPL8,3759
DTX2,1438
NLRC4,678
PUS7,436
LAMB4,52
NRCAM,471
LAMB1,11397
SLC26A4,49
SLC26A3,7
DLD,2771
WDR7,1377
TXNL1,2437
IL5RA,173
ABCC6,2305
CMTM6,4621
ITGA6,4304
RAPGEF4,951
MAP3K20,4192
SMPX,0
FH,1638
SEL1L3,6419
TF,80
CDV3,9757
MYO15A,185
ALKBH5,4373
APOH,75
NLRP1,4569
PITPNM3,1198
SPAG7,2149
ORC6,72
ZFHX4,43
SLC17A6,1
CPA1,5
ZC3HC1,534
ESR1,585
RGS17,48
ANGPT2,410
TMEM101,1707
CD200,748
CCDC80,2239
CMA1,8
PSME1,7737
PPP2R3C,761
HAUS4,397
JPH4,166
MYH7,1
CEBPE,21
SLC7A8,2882
OSGEP,2024
SLC22A17,1141
RNF31,65
SCFD1,2446
G2E3,837
HECTD1,7023
HNRNPC,10632
RPGRIP1,109
SUPT16H,4403
TOX4,3317
GEMIN2,302
TGM1,321
TINF2,3007
DAZL,1
TBL1Y,0
SEMA6A,2617
TRPM7,2594
TYRO3,860
WDR76,255
CAPN3,2953
SNAP23,695
TBX15,35
PHGDH,698
COL9A3,32
EZR,20256
MYL6,22130
AGO1,2944
TEKT2,227
CLSPN,73
RFFL,772
UNC13D,7588
MFSD11,1218
DPYSL2,20340
TGFB2,1966
GPATCH2,869
NUP50,2577
CDC45,65
COMT,7347
ADA2,13488
VNN3,130
ECHDC1,4345
LRRFIP2,3163
SEC22C,2656
XYLB,126
HDAC6,4270
OR1I1,1
GABRP,351
KRT31,0
CDC6,64
UPRT,601
CDC23,1343
AAAS,2321
CBX5,4181
FMO2,5928
SUCO,1991
MSH2,966
MAP3K1,2697
DHPS,281
HOOK2,2647
NXPE1,4
ARCN1,6903
EPB41L4B,883
TMEM38B,526
PSMD5,1793
PTGS1,1582
NUP188,3459
CRAT,1682
SH2D3C,3999
NANS,1090
TBC1D2,8305
WHRN,534
PDE6C,61
CWF19L1,1173
SEMA4G,620
BTAF1,3840
IKZF5,1573
BLNK,500
TLL2,6
CYP26A1,2
TDRD1,21
SORBS1,3750
CRTAC1,6758
BAMBI,585
IL11,11
MYO3A,10
WAC,7172
CREM,796
NUBP2,2356
TPSD1,551
SMIM24,2
HIVEP1,1568
TREM2,3420
KCNK16,6
CRISP3,5
FKBP5,1968
SRPK1,683
BRPF3,2137
MRPS18A,269
PGC,10312
TMEM14A,589
EFHC1,1644
NCR2,2
HSP90AB1,31681
MLN,0
CDC5L,2031
ITPR3,11973
ZNF184,367
DSP,1422
SIRT1,1627
HNRNPH3,6286
IFT74,735
JAK2,2417
IL12RB1,738
ABL1,5047
ACOT7,1052
SH3GLB1,6259
CDC7,344
SYDE2,978
PCSK5,986
SCD,16268
TMED1,341
ABLIM1,12176
ERMP1,2109
RAB18,3604
NRP1,9735
PRTFDC1,217
PALMD,2267
TSPAN15,3547
MACROH2A2,571
WASHC2A,2407
MAST3,1758
MZF1,2455
OCEL1,839
MYO9B,11905
KCNK6,1606
CATSPERG,269
PSMD8,4013
FBXL19,967
STX1B,63
HSD3B7,554
SETD1A,2199
BCL7C,743
MAGEB2,0
EFNA2,2
CIRBP,26184
ATP5F1D,2111
CBARP,15
PCDH11Y,0
AMELY,0
PRKY,7
IGFALS,387
HNRNPM,8735
MARCHF2,2198
NDUFB7,2119
TECR,3648
TIMM13,1539
CDC34,1998
MTAP,1527
MISP,1755
CEP170B,3857
POLR2E,5970
POLRMT,2665
HCN2,22
CDHR5,57
IZUMO4,197
RASSF7,5174
GADD45B,6972
PALM,1787
MADCAM1,24
MKNK2,12203
ARVCF,2479
TRMT2A,1849
RANBP1,1422
ZDHHC8,3228
KLHL22,1187
MED15,8083
SERPIND1,292
SNAP29,1623
CRKL,4403
LZTR1,1123
MMP11,149
CECR2,856
SMARCB1,2316
P2RX6,79
DERL3,94
SLC7A4,73
BCL2L13,2453
DDTL,99
DDT,0
OSM,173
CABIN1,6409
TBC1D10A,1099
SUSD2,38227
SF3A1,6380
GGT5,1211
RNF215,660
SEC14L2,128
SEC14L3,60
SPECC1L,2510
PPIL2,2748
UPB1,134
YPEL1,381
SNRPD3,1869
PES1,2593
MAPK1,7393
GGT1,37
PRODH,1424
PPM1F,3217
SLC35E4,123
TOP3B,7
CRYBB3,15
CYTH4,2913
ESS2,1003
MFNG,2488
CARD10,1299
LRP5L,584
SLC25A1,2313
GRK3,2575
PLA2G3,69
LGALS2,333
GGA1,5682
HIRA,653
SH3BP1,469
SEZ6L,12
LGALS1,8057
HPS4,2924
PIK3IP1,5843
Z83844.1,0
SRRD,464
PATZ1,2218
TRIOBP,6504
TFIP11,1133
GCAT,256
GGTLC2,73
CRYBB1,16
ANKRD54,885
EIF3L,5385
SNU13,3523
MICALL1,2281
POLR2F,1057
SOX10,8
CCDC134,520
DEPDC5,841
PICK1,1665
TTC28,2513
SLC16A8,89
CENPM,67
SEPTIN3,111
SLC5A1,439
SLC5A4,202
KDELR3,379
CYP2D6,136
DDX17,51457
DMC1,28
TCF20,2233
HSCB,304
CBY1,768
TOMM22,1882
RSPH14,24
XBP1,9616
RTCB,2955
JOSD1,3919
FBXO7,6475
GTPBP1,4817
POLDIP3,4913
RAB36,505
TIMP3,47750
PPP6R2,4928
SBF1,6520
SUN2,6811
CYB5R3,15626
DNAL4,1045
C22orf31,13
MIOX,3
LMF2,5916
RHBDD3,1115
PACSIN2,6182
TTLL1,282
RASL10A,86
AP1B1,8968
HMGXB4,1016
TOM1,5127
NEFH,78
CHKB,66
BIK,33
HMOX1,6835
MCAT,529
THOC5,1508
MCM5,2366
APOBEC3H,127
ARSA,4356
TSPO,7411
RASD2,120
TTLL12,1915
CBX7,4095
PDGFB,3957
ACR,45
CABP7,13
RPL3,72636
ZMAT5,352
RBFOX2,5108
SYNGR1,768
TAB1,2074
ASCC2,3181
MTMR3,574
MIEF1,1764
APOL4,437
PNPLA5,1
APOL1,5917
PNPLA3,149
MYH9,77439
CACNA1I,166
SAMM50,1559
TXN2,2636
FOXRED2,771
GRAP2,835
EIF3D,7677
TNRC6B,2913
SGSM3,73
IFT27,1395
PVALB,17
KIAA0930,5465
NCF4,1651
CSF2RB,2670
SLC25A17,1023
UPK3A,15
FAM118A,2457
KCTD17,828
ST13,8789
IL2RB,2135
RBX1,2107
EP300,5831
L3MBTL2,1407
CHADL,220
RANGAP1,4359
ZC3H7B,8056
PHF5A,765
ACO2,2990
POLR3H,1053
TRMU,1734
PMM1,1884
DESI1,2318
CERK,3590
BRD1,3545
ZBED4,1344
MLC1,290
HDAC10,107
KCNK10,15
ABHD4,2032
KHNYN,3117
FKBP3,948
SDR39U1,278
CTSG,55
GZMH,440
GZMB,543
RBM23,4098
PRMT5,456
COCH,29
AP4S1,617
POLE2,99
VCPKMT,593
SOS2,2760
CDKL1,602
NIN,3292
PYGL,2392
TRIM9,50
PSMC6,2650
GNPNAT1,275
DDHD1,2792
CDKN3,53
CNIH1,2865
CGRRF1,567
ATP6V1D,2195
CCDC198,14
PLEK2,102
PIGH,581
LRRC74A,5
PSMA3,3724
VTI1B,1848
TIMM9,526
GSTZ1,594
KIAA0586,879
TMED8,1457
SAMD15,33
AHSA1,2518
DAAM1,1873
ISM2,1
SPTLC2,4205
RIN3,3516
LGMN,19649
ALKBH1,533
SNW1,2052
CHGA,34
ITPK1,4691
DHRS7,1743
PPM1A,3447
SIX4,86
GALNT16,352
ASB2,222
CEP128,267
ERH,1486
HIF1A,5625
SUSD6,8996
SRSF5,18690
SLC10A1,5
EIF5,7990
SERPINA4,1
SLC8A3,128
DICER1,4860
ZFYVE21,1318
MTHFD1,1437
TCL1A,73
ZC3H14,2640
TELO2,2366
PCNX1,3764
BDKRB1,3
GSKIP,704
VRK1,382
PSMC1,411
PAPLN,1650
RPS6KA5,849
PPP4R3A,4479
C14orf93,445
PSMB5,2684
YY1,5287
ACIN1,9968
CCNB1IP1,1633
TRIP11,2263
APEX1,4284
PABPN1,1084
EFS,769
ARHGAP5,1873
CINP,922
DHRS2,26
SRP54,2423
CPNE6,1
CHD8,4069
PCK2,3066
PRORP,374
DCAF11,3416
PSMA6,329
NFKBIA,20950
EMC9,310
PSME2,4238
BRMS1L,418
REC8,1538
TM9SF1,132
SEC23A,2202
GMPR2,2704
PNN,5090
RABGGTA,2348
NFATC4,1491
PLTP,4309
PCIF1,3263
GSS,1810
MMP9,2214
VSX1,0
TRPC4AP,6627
PYGB,8499
ABHD12,4419
PROCR,358
GINS1,127
NINL,1347
CD40,2222
UQCC1,1612
ZMYND8,2780
SGK2,97
IFT52,1013
MYBL2,117
R3HDML,2
HNF4A,3
NDRG3,2179
SLA2,390
RAB5IF,47
NFATC2,1576
RIMS4,38
PABPC1L,2778
STK4,5233
SALL4,67
ADNP,4471
PFDN4,459
DOK5,22
CSTF1,1227
BMP7,163
RAE1,1204
TPD52L2,5640
DNAJC5,5993
NELFCD,3454
CTSZ,32702
PRPF6,6402
TUBB1,49
PRELID3B,2175
HRH3,0
MTG2,1496
PSMA7,5752
SLCO4A1,208
NTSR1,4
MRGBP,784
TCFL5,443
DIDO1,4893
GID8,2928
SLC17A9,1131
BIRC7,356
NKAIN4,22
ARFGAP1,5889
AVP,0
COL20A1,2
CHRNA4,8
EEF1A2,282
PTK6,941
GMEB2,1247
C20orf27,1424
SPEF1,83
CDC25B,3985
ISM1,164
RNF24,1835
ARFRP1,2787
NDUFAF5,547
SEL1L2,0
TRIB3,1073
RASSF2,4312
CSNK2A1,3616
SLC52A3,135
ANGPT4,115
RSPO4,550
CDS2,5391
PROKR2,1
HM13,5433
SNPH,347
MYLK2,8
SIRPB1,1464
SEC23B,2705
FERMT1,115
HAO1,0
PDYN,0
CCM2L,399
PLCB4,816
MYL9,19960
HCK,4117
TM9SF4,3588
TLDC2,80
CRNKL1,1349
POFUT1,2204
SAMHD1,13636
PAK5,7
KIF3B,2572
MROH8,93
NOP56,2081
MANBAL,1823
IDH3B,3094
MAPRE1,4738
JAG1,3928
CDK5RAP1,1471
SNTA1,753
OXT,1
TTI1,1117
E2F1,417
RPRD1B,1843
PXMP4,3204
CHMP4B,6241
BPI,0
CST9L,0
SLC32A1,1
CST3,17311
ASIP,6
CST4,0
ACTR5,615
WFDC2,4192
AHCY,3117
PPP1R16B,2301
SPINT3,0
FAM83D,156
EPPIN,6
DHX35,930
DNTTIP1,990
MAP1LC3A,950
SYNDIG1,45
PIGU,741
TNNC2,43
ACOT8,719
APMAP,5214
CELF4,97
ZNF516,1895
CDH20,8
ADNP2,1464
RBFA,561
USP14,2689
VAPA,7796
METTL4,559
LPIN2,5555
SMCHD1,3651
MYOM1,259
MYL12A,9891
CEP76,265
ST8SIA5,13
CEP192,1465
RNMT,2267
SMAD7,3482
LIPG,141
LAMA1,152
RNF125,1474
ANKRD12,3232
NOL4,6
POLI,1467
MIB1,3022
RBBP8,1279
RIOK3,4194
CSTF2,520
H2BW2,0
MXRA5,1941
VSIG1,58
PSMD10,1435
ATG4A,682
STS,2008
TBL1X,1226
GPR143,89
PGRMC1,4123
POLA1,728
MID1,1373
NKAP,760
RHOXF1,17
NXT2,627
GUCY2F,2
ATP1B4,3
MCTS2P,0
ALG13,2341
PRPS2,1305
TLR8,1124
MOSPD1,468
AMMECR1,741
CHRDL1,3987
WDR13,5328
SUV39H1,291
PAGE4,0
SRPX,925
GLRA2,0
XIAP,3749
STAG2,5406
ATP11C,1142
MCF2,22
F9,0
ABCD1,1456
CCDC22,1492
CACNA1F,209
SYP,306
PLP2,2349
BMX,100
LUZP4,0
PLS3,16273
NAA10,834
RENBP,2569
ELF4,2270
SMARCA1,2411
MTMR8,53
ASB9,212
ZC3H12B,140
RBBP7,3644
PPP1R2C,0
KCND1,231
OPN1LW,0
SLC25A14,437
FMR1,3222
PIM2,2289
SCML2,49
SLC35A2,1273
PQBP1,1752
RS1,255
PCSK1N,112
EMD,2541
TAZ,2293
RAB40AL,1
PGK1,11227
GATA1,33
MAGT1,4612
SMS,2633
PHEX,695
UBL4A,1778
CD99L2,3755
EEA1,1904
GPR50,0
RP2,1442
JADE3,719
CDK16,3917
USP11,4292
PCYT1B,128
BRS3,0
HTATSF1,2790
VGLL1,156
CD40LG,649
TIMP1,4946
KLHL4,69
GABRE,2057
PCDH11X,17
FGD1,161
PIN4,564
PORCN,514
ITIH6,0
MAGED2,7478
RBM3,10153
KLF8,1504
SRPX2,433
SYTL4,277
ZDHHC15,197
CENPI,59
DRP2,18
TAF7L,5
PBDC1,896
GLA,1723
ARMCX3,2863
BEX4,2372
RUBCNL,709
NALCN,128
FGF14,156
HTR2A,25
NDFIP2,1672
TNFSF13B,1324
FNDC3A,4924
MLNR,2
CDADC1,483
CAB39L,890
KLF5,5434
STK24,2295
ACP5,23387
DNAJC3,4332
UGGT2,958
ARHGEF7,4049
FGF9,88
SGCG,181
PARP4,4220
SUPT20H,2324
MRPS31,767
SLC25A15,318
KPNA3,3067
FLT1,2408
RGCC,11395
VWA8,1205
DGKH,2250
KATNAL1,934
INTS6,1429
ACOD1,7
DHRS12,493
MEDAG,47
TSC22D1,12774
CLN5,643
OLFM4,1
MSLN,8428
MGRN1,6428
ZNF629,1378
TRADD,1539
HSF4,1381
CORO1A,6150
MAPK3,4853
GDPD3,392
ELMO3,1866
MT4,0
PHKB,4572
LYRM1,972
NUTF2,2965
NUP93,1704
CENPT,2464
TSNAXIP1,124
NFAT5,3784
LONP2,3849
N4BP1,6825
CBLN1,11
ARL2BP,23
PLLP,2688
ZNF423,570
CCL22,370
DHODH,815
CCL17,160
CTCF,2826
ACD,1018
POLR2C,2634
PARD6A,205
ZNF821,175
MMP15,3875
USB1,2015
CYB5B,2865
CCDC113,271
PRSS54,0
NME3,2131
NDRG4,1293
PSMD7,873
SETD6,625
SLC38A7,1171
VAC14,3471
HAS3,2807
TANGO6,887
COG4,3919
SMPD3,988
SLC7A6OS,241
SLC7A6,956
PLA2G15,2399
ESRP2,2875
FA2H,225
WDR59,2474
MON1B,2296
CMC2,523
AXIN1,2446
HCFC1R1,1840
NPRL3,2362
MLYCD,1094
MPG,709
NECAB2,6
HSDL1,1645
TAF1C,4069
NAGPA,1432
WFDC1,735
SEC14L5,54
COTL1,10443
USP10,2528
CRISPLD2,1793
TSC2,7600
ZNF500,846
NME4,1753
ABCC1,4737
NOMO3,122
LMF1,1325
FOXF1,3606
CIAO3,1219
MTHFSD,811
CLCN7,3966
HAGHL,378
ANTKMT,430
SLC7A5,1087
METRN,678
FBXO31,1486
STUB1,1097
RHBDL1,75
NUBP1,461
UBE2I,3339
ZP2,0
MEFV,132
CRYM,116
EEF2K,2838
CAPN15,2911
PIEZO1,11615
GSPT1,6708
ZNF174,304
CLUAP1,784
UBFD1,2193
PRSS33,6
EARS2,885
ELOB,3660
GGA2,13269
AQP8,9
CPPED1,1669
USP31,917
HMOX2,1839
DNAJA3,1853
CORO7-PAM16,0
BFAR,3210
SALL1,3
TOX3,64
RBL2,5124
QPRT,763
XYLT1,686
PYCARD,986
RPGRIP1L,266
MAZ,385
STX4,3154
CDIPT,4806
BCKDK,2426
KAT8,2323
NOMO1,1443
IL21R,230
SYT17,704
TMC5,2574
CCP110,1789
VPS35L,2516
SLC6A2,0
RNF40,2532
KNOP1,358
AQP9,1002
AAGAB,1283
IQCH,82
LACTB,1870
CORO2B,572
CSK,4304
HERC1,6218
TRIP4,1117
MTFMT,435
RASL12,2221
AP3B2,82
ACSBG1,25
IGDCC4,52
RAB11A,6297
CTSH,40398
TTC23,610
CD276,2656
FAH,1784
CEMIP,586
RPAP1,1480
HOMER2,537
EHD4,3182
TMEM87A,4508
ZNF106,6502
CEP152,271
ATP8B4,404
OCA2,32
DTWD1,1145
TGM5,1
FAM189A1,180
GABPB1,784
TJP1,11337
BMF,2677
DMXL2,3267
SCG3,19
DNAJC17,583
EIF3J,1972
SPG11,4118
RHOV,45
VPS18,2233
OIP5,11
SLC30A4,468
BLOC1S6,2641
MYEF2,838
SGK3,868
PDGFRL,120
CSPP1,1329
ZDHHC2,2372
BRF2,229
TRIM35,1151
ZFAND1,1943
RP1,271
CA2,2012
FZD3,290
INTS9,993
RIPK2,1187
EYA1,37
NBN,2689
TRPA1,14
CPQ,2134
DECR1,2688
CALB1,32
BPNT2,4245
SFRP1,81
LAPTM4B,4688
UBE2W,1893
POP1,202
NIPAL2,1670
IKBKB,4725
PLAT,1861
JPH1,1435
DKK4,0
STK3,1233
GDAP1,414
RAB2A,5984
EIF3E,11102
EMC2,2136
ESRP1,2769
CCN4,197
NDRG1,18903
ZC2HC1A,896
IL7,221
STMN2,2
ARMC1,1370
TRPS1,859
SPAG1,477
CHRAC1,1533
NCALD,1558
SNX16,625
GML,1
UBR5,4597
GSDMD,5605
GFUS,2121
PYCR3,397
EEF1D,2877
ANXA13,1
SQLE,1181
SH2D4A,1266
INTS10,2450
ERI1,990
SLC39A14,935
MTMR9,897
LEPROTL1,3725
DCTN6,724
R3HCC1,1338
GSR,3166
TNFRSF10A,486
UBXN8,469
PPP2CB,5360
ERICH1,1500
NEFM,8
TUSC3,1342
ARHGEF10,157
KLHDC4,2246
MCM4,845
ADAM2,4
KCTD9,1469
FGL1,2
ASAH1,28603
BNIP3L,7216
MAN2B1,7332
KCNN4,750
TULP2,6
NUCB1,18686
DHDH,110
GYS1,2496
MAP4K1,1191
CGB2,0
ECH1,3968
HNRNPL,5374
NFKBIB,1129
LHB,2
CGB3,0
TUBB4A,32
SARS2,88
KCNA7,1
SNRNP70,18275
CLPTM1,5664
RELB,1585
CLASRP,2854
LIN7B,209
PPP1R37,2299
FCGRT,18154
PIH1D1,2462
CKM,3
ARHGEF18,2521
PPP1R13L,2976
PEX11G,269
ERCC2,1110
DOT1L,4227
PLEKHJ1,2675
SLC17A7,18
RNASEH2A,1
KLC3,33
CD37,3302
SF3A2,3164
AMH,121
DKKL1,18
LYL1,834
OAZ1,20458
TRMT1,2087
STX10,2446
RETN,248
FCER2,42
DMPK,2399
CLEC4M,9
RSPH6A,0
TBC1D17,4463
IL4I1,523
TLE6,343
CCDC130,2328
PTOV1,2229
TLE5,10001
NOVA2,1016
SGTA,3454
LILRB1,990
MED25,3654
LILRA1,111
SNAPC2,826
C19orf53,1945
TIMM44,1474
CCDC61,671
IL27RA,1585
ASF1B,140
TNNT1,37
VRK3,1846
FAM32A,2902
PPP6R1,4600
C19orf44,343
MED26,455
OLFM2,404
RASAL3,2559
AKAP8,2283
EPHX3,137
ILVBL,2931
ZNF419,425
SYDE1,1353
CASP14,1
SLC1A6,3
AURKC,82
POP4,1036
CCNE1,81
URI1,2693
PDCD5,1386
ANKRD27,2210
RPS16,27279
TIMM50,1795
LGALS13,0
FBL,2992
DYRK1B,1718
CLC,3
CCNP,25
GPI,6868
AKT2,6624
PLD3,35432
PRX,4718
PIAS4,1176
NUMBL,1159
EBI3,157
YJU2,901
SHD,29
TBCB,2284
FSD1,38
POLR2I,72
OVOL3,3
CLIP3,652
ZFR2,12
SLC1A5,2946
PRKD2,4706
TJP3,1436
APLP1,244
CACTIN,844
CCDC9,1931
HNRNPUL1,9397
FZR1,3169
BBC3,499
TGFB1,5735
DENND3,12870
DMAC2,2187
CEACAM4,74
PLIN3,1999
MYH14,11783
MRPL4,937
SIGLEC8,570
CD79A,449
LIM2,4
ICAM4,0
RPS19,26504
NOP53,16869
NKG7,1518
ICAM5,2220
ETFB,655
CD33,956
CEACAM5,392
CRX,2
BABAM1,823
TYK2,7487
SULT2A1,0
CDC37,7684
NAPA,2308
RABAC1,425
ATP1A3,14
MEIS3,189
PTPRS,2955
CNFN,13
ZNRF4,0
MEGF8,2925
KDELR1,7908
CYTH2,4184
GRWD1,1448
GRIN2D,50
SYNGR4,0
CLEC11A,333
CCDC114,425
CARD8,4041
LIG1,1432
SIGLEC6,349
ZNF175,610
PLA2G4C,524
SIGLEC5,9
CABP5,0
HAS1,4
RAB3D,981
DBP,516
TMEM205,935
CAPS,1371
PLPPR2,1782
FAM83E,1494
RASIP1,2420
THEG,0
FGF21,0
BCAT2,2842
MIER2,1289
PLEKHA4,974
PPP2R1A,9381
TNPO2,4393
WDR83OS,1
CACNG7,0
GCDH,973
LILRB5,3221
KLF1,6
DNASE2,4635
MAST1,31
LENG1,436
PRPF31,1610
TFPT,567
JAK3,1885
RPL18A,11782
SLC5A5,20
KCNN1,16
ARRDC2,6322
PIK3R2,6
RAB3A,128
PDE4C,56
ISYNA1,1369
ELL,1332
CRTC1,1432
COMP,49
UPK1A,2
COPE,2589
DDX49,1337
ETV2,50
ATP4A,1
ARMC6,1208
TMEM147,1890
GAPDHS,2
MAG,9
TMEM59L,9
HAMP,130
USF2,6192
LSR,4897
KXD1,1167
FKBP8,14058
SUGP1,1445
HPN,1940
ZNF14,416
SCN1B,406
PBX4,372
ERF,2157
GSK3A,1469
ATP13A1,4455
ZNF574,940
GRIK5,57
SIPA1L3,3568
ZNF85,223
ETHE1,646
CADM4,543
SMG9,1902
AVL9,2317
RUNDC3B,8
CFAP69,378
GTPBP10,898
RASA4,42
CDK6,2411
PMPCB,2420
DNAJC2,904
TFPI2,633
BET1,1006
NAMPT,4278
POLR1F,753
PIK3CG,1102
PON3,967
PON2,5061
ITGB8,284
HBP1,2184
DUS4L,182
SP4,787
WDR91,3118
DNAH11,433
CBLL1,1061
DLX5,23
MTPN,6775
STEAP1B,19
PTN,1258
MPP6,413
GSDME,815
ATP6V0A4,164
ZC3HAV1,3253
TTC26,372
OGDH,9037
NPVF,0
ADAP1,587
TFEC,2228
H2AZ2,6824
CAV2,17395
CAV1,62005
MET,4456
RNF32,85
LMBR1,1749
WNT2,924
HOXA1,16
DNAJB6,3873
HOXA2,83
HOXA3,358
LFNG,1128
HOXA5,915
HOXA6,30
BRAT1,3144
IQCE,1873
ANKRD7,9
VIPR2,42
TSPAN12,5927
SSBP1,1589
HOXA13,0
CPED1,1445
EVX1,0
HIBADH,1568
TAX1BP1,6267
CPVL,4014
CHN2,16
GRB10,2143
ABHD11,1295
COBL,2109
FKBP14,609
PLEKHA8,632
STX1A,202
NOD1,1837
GARS1,2974
CRHR2,13
EPHB6,699
MINDY4,51
GHRHR,3
CASP2,2264
CHCHD2,4689
CCL24,38
HSPB1,12891
NPTX2,18
PDAP1,3505
BUD31,804
PTCD1,102
CYP3A5,410
ZKSCAN1,3568
EIF3B,6697
SNX8,1986
NUDT1,342
PTPRZ1,64
TAF6,962
WASL,3613
HYAL4,4
SPAM1,0
AIMP2,359
TFR2,62
FSCN3,11
MOSPD3,945
PAX4,0
PCOLCE,1898
FBXO24,28
PPP1R17,5
RBM28,1484
USP42,824
IMPDH1,3315
AGFG2,1673
LSM5,856
SERPINE1,2799
AP1S1,1144
MOGAT3,1
C1GALT1,2284
PLOD3,3899
RPA3,524
ZNHIT1,3212
CLDN15,646
NOBOX,3
GLCCI1,3644
MYL10,0
PHF14,1641
NRF1,1069
TMEM106B,2803
EZH2,542
CEP41,461
ZNF862,1341
SFRP4,307
MEST,1534
MEOX2,689
ANKMY2,954
ACTR3C,155
POU6F2,3
TSPAN13,16815
RARRES2,6306
AGR2,3061
AHR,9137
CHCHD3,1368
GIMAP2,1366
TMEM176B,4736
GLI3,890
