,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
LLGL2,8028
PDE8A,1906
CLCN4,868
NLE1,477
SDHA,294
SMARCE1,621
FNDC8,1
GSDMB,1888
KDM5A,3559
ADAM11,82
PPP2R3A,718
FERMT2,5531
ABCB11,3
DHRS9,848
CD5L,11
PTGS2,5421
IGF2BP2,773
MAP3K13,1886
ST6GAL1,5101
TBX21,482
FRY,3658
PICALM,9475
NSF,1428
GLI2,321
CLASP1,3393
MRPS34,1481
NOTCH3,9967
CLNS1A,2184
PPP2R2C,35
TEAD2,1466
EED,864
CDHR2,12
SNCB,4
TSG101,2915
NCBP3,4179
ATP2A3,5111
CA12,710
MGLL,11816
NTN4,8853
BCS1L,1020
NUAK1,1518
DPP8,2592
SLC24A1,754
ZNF532,3307
SCARF1,4361
LMAN1,6079
HACD3,3558
IPCEF1,442
ZZEF1,5360
NOX3,0
ENO1,30196
SLC12A1,3
MYDGF,3027
ANO8,1343
TUBE1,1199
ARHGEF10L,3546
TXK,390
WSCD2,33
KCNQ2,20
TACR2,46
ACTR6,917
TIPIN,158
SRI,2835
EIF4G3,3034
NUP37,449
SEMA3A,375
GTSE1,84
SEMA3C,2798
TTC38,1868
ACAT1,1772
GRAMD4,3622
CELSR1,7860
WNT8B,3
ZNF638,5242
SLC25A40,938
TIMM21,628
ADD2,196
FGF4,0
RASAL2,3080
VPS9D1,1272
ZNF37A,1294
MARK3,5018
SLC25A3,12840
FNDC3B,4296
FOSL2,8111
CACNG5,0
CACNG4,293
FRYL,4182
TMEM131,3908
FSCN1,3729
ACTB,250964
MOCOS,378
PLD1,803
ATP12A,30
WDR62,269
DLG1,2902
RAB7A,12485
BCAP29,56
SEC31B,1390
SART3,2303
ARHGAP15,799
TUBA3D,23
PAX2,0
EXOSC7,1146
KIFAP3,1621
MKRN2,1442
MCM6,975
REXO2,1493
RBM7,1297
RBMS2,8095
BAZ2A,7780
PTPN23,4384
MLH1,1695
UNG,972
FMO4,337
KLHL20,1325
RGS11,305
SLC46A1,498
PLXNA2,5020
SPAG5,203
ANKRD13A,4680
TPD52,2425
ACACB,2499
TRAF4,2378
PAG1,4464
GPATCH1,621
ICAM3,124
NT5C2,2256
MCAM,5935
GPC4,4704
MBNL3,1560
CAMSAP3,1348
RAP1GAP,2766
XAB2,3916
ARHGEF1,19266
STXBP2,3489
MAP2K7,2534
NMRK2,3
DGKD,4880
CTTNBP2,205
ACTL6B,3
RARB,468
TOP2B,6660
TM9SF3,8757
NFKB2,4802
UBE2T,73
PPP1R12B,5522
DNAJC10,4455
GTF3C1,4793
IL4R,5538
USP33,3321
PAK3,55
CAPN6,49
DCX,1
SNRPA,1845
SPAG6,261
EXOSC5,521
DYNC1I2,3234
APBB1IP,2047
LRCH4,1332
FAM76B,1362
SIRT6,1028
TYR,0
POLD3,1104
ACTN2,354
CAPZB,10951
GPR137B,1643
NAALAD2,228
JADE1,2287
SLC25A43,892
UBE2A,3139
FGFR1,3768
FKBP6,2
SMC1B,11
FBLN1,14093
ITGA8,3451
CST7,1093
MAP2,1943
PIAS2,1592
AMPH,53
ARAF,5501
MCCC1,1654
LAMP3,16980
FAP,240
NEBL,7938
ACER3,2933
UBE2K,3222
PIK3C3,1977
N4BP2,1019
TIGAR,368
TULP3,1062
SYNJ2,494
ADCY2,36
PPP2R5C,6952
RBFOX1,2
GNB1,16820
HOXA9,15
EDN1,4220
MLLT10,2728
ZCWPW1,427
ADCYAP1R1,108
FGF20,8
P2RY10,675
ITM2A,2805
NRDC,4879
VDAC3,2882
PCM1,6363
TNRC6C,1550
CBFA2T2,2363
BRINP1,70
ITCH,3160
PKD2L2,24
TP53INP2,2055
SDF4,7059
MYH7B,311
BPIFB2,0
TP73,152
TOLLIP,3653
UBE2D4,553
CLUL1,82
RUNX1T1,1089
CDH17,27
THOC1,1588
FKBP7,437
OSBPL6,656
SLC1A3,1773
XRCC5,8410
LXN,720
SP140,557
MKNK1,3519
TNS1,43897
REXO1,1891
SAR1A,6329
CDC14A,868
RAPGEF3,1444
CEACAM1,636
SENP1,855
DUSP13,5
CIC,6350
LIPE,253
FDFT1,3556
PAFAH1B3,335
OPHN1,782
AFM,1
KIF22,970
SCGN,4
CARMIL1,2409
PGM1,3759
DDX1,3388
DNM2,12679
EPB41L2,6186
RIMS1,60
MOXD1,1650
STX7,5966
